name,meaning,name_origin,meaning_origin,birth_flower,trivia,image_url
アケビ（木通）,"才能,唯一の恋",熟した実がぱっくりと割れて口を開けたようになる様子から、「開け実（あけみ）」と呼ばれ、それが変化したと言われています。,他の木にツルを巻きつけながら空高く伸びる生命力と、実の中に甘い果肉という「才能」を隠し持っていることから。また、熟して硬い殻を割り、中の大切な部分を見せる姿が、心を許した相手への「唯一の恋」を表しています。,"10月23日,11月1日",アケビ科。東アジア原産。秋の味覚として知られます。果肉を食べるだけでなく、皮を肉詰めにしたり、ツルを編んでカゴにしたりと、捨てるところがない有用な植物です。,https://upload.wikimedia.org/wikipedia/commons/4/4c/Akebia_quinata_flower_bgiu.jpg
アゲラタム,"信頼,安楽,幸せを得る",ギリシャ語で「年をとらない」を意味する「ageratos」が語源。花の色が長くあせず、鮮やかさを保つことに由来します。,長い期間、色褪せることなく美しく咲き続ける姿が、変わらぬ関係や安心感を抱かせることから「信頼」「安楽」。その若々しい姿にあやかって「幸せを得る」という意味も込められています。,"5月10日,9月14日,10月24日",キク科。熱帯アメリカ原産。和名は「カッコウアザミ」。ふわふわとしたパステルカラーの花が特徴で、夏から秋にかけて花壇を彩る丈夫な花です。,https://upload.wikimedia.org/wikipedia/commons/3/36/Ageratum_houstonianum_flower_macro.jpg
アサ（麻）,"運命,宿命,結果",繊維植物の総称としても使われますが、植物としては神事に用いられる大麻草（ヘンプ）を指します。,驚くほどの速さで真っ直ぐに成長することから、天地を結ぶ神聖な植物とされてきました。また、麻から糸を紡ぐ作業が、運命の糸を紡ぐ女神の姿を連想させるため「運命」「宿命」という花言葉が生まれました。,該当なし,アサ科。中央アジア原産。強靭な繊維が取れます。日本の神社では、邪気を払う神聖なものとして、しめ縄や鈴の緒に伝統的に麻が使用されています。,https://upload.wikimedia.org/wikipedia/commons/3/36/Cannabis_sativa_plant.jpg
アサガオ（朝顔）,"はかない恋,固い絆,愛情,明日もさわやかに",朝早くに花を開き、昼頃にはしぼんでしまう様子を「朝の美人の顔」に例えて名付けられました。古名は「牽牛花（けんぎゅうか）」です。,支柱にツルをしっかりと巻きつけて離さない姿から「固い絆」。一方で、朝に咲いて昼には終わってしまう短い命であることから、美しいけれどすぐに消えてしまう「はかない恋」の象徴でもあります。,"4月14日,7月6日,8月1日,8月6日",ヒルガオ科。熱帯アジア原産。江戸時代に日本で独自の進化を遂げ、品種改良ブームが起きました。「変化朝顔」などの園芸文化は世界的に見てもユニークです。,https://upload.wikimedia.org/wikipedia/commons/1/10/Morning_glory_close_up.jpg
アサギリソウ（朝霧草）,"脚光を浴びる,慕う心,甦る思い出",細かく繊細な銀色の葉が、まるで朝霧に包まれて煙っているように見えることから、この美しい名前がつきました。,太陽の光を浴びて、銀白色の葉がキラキラと輝く様子から「脚光を浴びる」。その柔らかく幻想的な葉の質感が、遠い日の記憶や懐かしい感情を優しく呼び覚ますことから「甦る思い出」とされています。,"8月27日,10月28日,11月19日",キク科ヨモギ属。日本の北陸や東北地方が原産です。岩場などに自生しています。花よりも美しいシルバーリーフを楽しむ植物として、ガーデニングで人気があります。,https://upload.wikimedia.org/wikipedia/commons/f/fc/Artemisia_schmidtiana.jpg
アシ（葦）,"深い愛情,神の信頼,音楽,不謹慎",「悪し（あし）」という言葉を避けて、縁起の良い「ヨシ（良し）」と言い換えられることもある水辺の植物です。,ギリシャ神話で、パン神が恋をしたニンフが葦に姿を変えてしまい、パン神がその葦で笛を作って愛を奏でたという悲恋の伝説から「音楽」「深い愛情」。パスカルの「人間は考える葦である」という名言でも知られます。,"1月17日,2月28日",イネ科。世界中の水辺に生えています。水をきれいにする力があり、日本では古くからすだれや茅葺屋根の材料として利用されてきました。,https://upload.wikimedia.org/wikipedia/commons/7/75/Phragmites_australis_Schilfrohr.jpg
アザミ（薊）,"独立,報復,厳格,触れないで",花を摘もうとすると鋭いトゲに刺され、驚き呆れるという意味の古語「あざむ」が語源になったという説があります。,スコットランドの伝説で、夜襲をかけてきた敵兵がアザミのトゲを踏んで悲鳴を上げ、そのおかげで城の兵士が気づいて国を守れたことから「独立」「報復」。スコットランドの国花として愛されています。,"3月19日,4月19日,9月18日,10月21日",キク科。北半球に広く自生しています。葉や花の根元に鋭いトゲがあります。春の若い芽や根っこは「山ごぼう」として漬物にされ、美味しく食べられます。,https://upload.wikimedia.org/wikipedia/commons/e/ec/Cirsium_japonicum01.jpg
アザレア,"節制,禁酒,恋の喜び,愛される幸せ",ギリシャ語で「乾燥」を意味する「azaleos」が由来です。原産地の土が乾燥しており、乾いた環境を好む性質があるためです。,乾燥した痩せた土地でも、春には株を覆い尽くすほど華やかに咲くことから、欲を抑える「節制」や「禁酒」。また、その満開の花が春の到来を喜んでいるように見えるため「恋の喜び」とも言われます。,"3月9日,3月18日,8月8日,12月22日",ツツジ科。元々は日本や中国のツツジがヨーロッパに渡り、品種改良されて豪華な花となって「西洋ツツジ」として帰ってきたものです。,https://upload.wikimedia.org/wikipedia/commons/b/b5/Azalea_indica_BotGdnBonn_2012-06-17.jpg
アジサイ（紫陽花）,"移り気,浮気,無情,家族団らん,辛抱強い愛情",「青い花が集まる」という意味の「あづさい」が変化した名前です。「紫陽花」という漢字は、昔の学者が別の花と間違えて当てたものが定着しました。,土の成分によって花の色が青やピンクにころころと変わることから「移り気」「浮気」。一方で、小さな花が寄り添って丸い形を作っている姿から、家族の絆を表す「家族団らん」という素敵な意味も持っています。,"6月3日,6月14日,6月26日,7月13日",アジサイ科。日本原産。シーボルトがヨーロッパに紹介しました。葉っぱや蕾には毒があるため、料理の彩りなどに使うと食中毒の危険があるので注意が必要です。,https://upload.wikimedia.org/wikipedia/commons/2/22/Hydrangea_macrophylla_2.jpg
アジュガ,"強い友情,心休まる家庭",ギリシャ語の「束縛がない」という意味の言葉に由来する説などがあります。和名は花が層になって咲く様子から「十二単（ジュウニヒトエ）」です。,地面を這うように茎を伸ばし、隣同士で手をつなぐようにどんどん増えていく性質から、固い絆の「強い友情」や、家族が寄り添うような「心休まる家庭」という温かい花言葉がつけられました。,"3月6日,4月26日",シソ科。ヨーロッパ原産。日陰でも育ち、踏まれても枯れないほど丈夫なので、お庭のグランドカバー（地面を覆う植物）として非常に人気があります。,https://upload.wikimedia.org/wikipedia/commons/8/87/Ajuga_reptans.jpg
アスター,"変化,追憶,同感,信じる恋",星を意味するギリシャ語「aster」が語源です。放射状に広がる花の形が、夜空にきらめく星の輝きに似ているため名付けられました。,紫、赤、白など多彩な花色を持ち、見るたびに異なる表情を楽しませてくれることから「変化」。また、日本ではお盆の頃に咲くため、仏花として故人を偲び、遠い記憶に思いを馳せることから「追憶」とされています。,"4月10日,4月22日,8月29日,11月28日",キク科シオン属。「エゾギク」とも呼ばれます。お供えの花というイメージが強いですが、最近はポンポン咲きなどのおしゃれな品種も増え、ガーデニングでも人気です。,https://upload.wikimedia.org/wikipedia/commons/9/98/Aster_tataricus_flower.jpg
アストランチア,"愛の渇き,知性,星に願いを",ギリシャ語の「aster（星）」に由来し、その名の通り星のような形の花を咲かせます。,花びらのように見えるガクの部分がカサカサと乾いた質感をしているため、潤いを求める「愛の渇き」。その星のような姿から、夜空に輝く星に知性や願いを託すイメージで「星に願いを」というロマンチックな言葉がつきました。,"6月13日,10月2日",セリ科。ヨーロッパ原産。イングリッシュガーデンには欠かせない名脇役。ドライフラワーにしても色や形がきれいに残るため、長く楽しめます。,https://upload.wikimedia.org/wikipedia/commons/d/d6/Astrantia_major_flower.jpg
アスパラガス,"何も変わらない,敵を除く,勝利",ギリシャ語の「激しく裂ける」や「新芽」を意味する言葉が語源です。多くの品種がトゲを持っていることに由来しています。,細かく繊細な葉が風にそよぐ姿が、いつ見ても変わらず涼やかであることから「何も変わらない」。観賞用の品種には鋭いトゲがあり、外敵を寄せ付けない強さがあることから「敵を除く」「勝利」とされています。,"4月18日,5月23日,7月18日",キジカクシ科。地中海沿岸原産。私たちが食べているのは若い芽の部分です。観葉植物としては、ふわふわした葉（仮葉）を楽しむ品種が親しまれています。,https://upload.wikimedia.org/wikipedia/commons/8/87/Asparagus_officinalis_flower_vallee_de_la_Meuse.jpg
アスチルベ,"恋の訪れ,自由,気まま",ギリシャ語で「輝きがない」という意味の名前ですが、これは原種の花が地味だったため。現在の園芸種はとても華やかです。,泡のようにふわふわとした花が、風に乗って自由な方向に広がっていく様子から「自由」「気まま」。煙るように咲く赤やピンクの花が、ぼんやりとした恋の予感を連想させるため「恋の訪れ」とも言われます。,"5月12日,6月1日",ユキノシタ科。東アジア原産。和名は「泡盛草（アワモリソウ）」。雨に濡れても美しく、梅雨時の薄暗い庭をパッと明るくしてくれる貴重な花です。,https://upload.wikimedia.org/wikipedia/commons/7/77/Astilbe_japonica.jpg
アセビ（馬酔木）,"犠牲,献身,二人で旅をしよう,危険",葉に毒があり、馬が食べると酔っ払ったように足がふらつくことから「馬酔木（あしび）」という漢字が当てられました。,万葉集で、大伴家持が恋人を待つ歌にこの花を詠んだことから、尽くす愛として「献身」。しかし、植物全体に強い毒を持つため「危険」、さらにその毒が殺虫剤に使われたことから「犠牲」という少し怖い意味も併せ持ちます。,"3月9日,4月4日,12月14日",ツツジ科。日本原産。早春にスズランに似た小さな壺形の花を房状に咲かせます。鹿も毒を知っていて食べないため、鹿の食害が多い地域でも元気に残っています。,https://upload.wikimedia.org/wikipedia/commons/3/30/Pieris_japonica_SZ12.jpg
アツモリソウ（敦盛草）,"君を忘れない,移り気",袋のような独特な花の形を、平家物語の若武者・平敦盛が背負っていた母衣（矢除けの武具）に見立てて名付けられました。,戦場で敵将・熊谷直実に討たれ、若くして命を散らした敦盛の悲劇と、彼を悼む直実の物語から、儚い命への哀悼と追憶を込めて「君を忘れない」という花言葉が生まれました。,"5月18日,5月28日,12月10日",ラン科。日本原産。対になる花として、敵将の名を冠した「クマガイソウ」があります。乱獲により数が激減し、現在は絶滅危惧種として大切に保護されています。,https://upload.wikimedia.org/wikipedia/commons/0/07/Cypripedium_macranthos_var_speciosum_3.jpg
アナナス,"たくわえる,あなたは完全,私にとってあなたは最愛",現地の言葉でパイナップルを意味する「nanas」が由来。パイナップル科の植物の総称として使われます。,葉の根元が筒状になっていて、そこに水を溜めて生きるユニークな性質から「たくわえる」。南国特有の鮮やかな苞（ほう）が長く美しい色を保つ姿から、欠点のない美しさとして「あなたは完全」と称えられます。,"1月17日,12月15日",パイナップル科。熱帯アメリカ原産。花のように見える赤や黄色の部分は「苞（ほう）」と呼ばれる葉の変化したもので、本当の花はその中に小さく咲いています。,https://upload.wikimedia.org/wikipedia/commons/0/07/Aechmea_fasciata_bgiu.jpg
アネモネ,"はかない恋,見捨てられた,真実,君を愛す",ギリシャ語の「風（anemos）」が語源。「風の娘」とも呼ばれ、春風と共に咲き、風が吹けば散ってしまう儚さから名付けられました。,女神アプロディーテに愛された美少年アドニスが、狩りで命を落とした際に流した血から咲いたという悲しい神話に由来します。愛する人を失った女神の嘆きと、永遠の別れから「はかない恋」「見捨てられた」という切ない意味が生まれました。,"3月12日,3月13日,4月6日",キンポウゲ科。地中海沿岸原産。十字軍がヨーロッパに持ち帰ったと言われています。花びらに見えるのは実はガク。植物全体に毒成分を含んでいます。,https://upload.wikimedia.org/wikipedia/commons/6/6f/Anemone_coronaria_1.jpg
アブチロン,"尊敬,良い便り,推測,憶測",語源には諸説あり、家畜の下痢止めや牡牛を意味するギリシャ語などが挙げられます。和名は花が浮かんでいるように見える「浮釣木（ウキツリボク）」です。,赤いランプのような花が、細い枝からぶら下がって下を向く姿が、何か深く考え事をしているように見えるため「憶測」「推測」。一方で、鮮やかな色の花が人目を引く立派な姿であることから「尊敬」ともされます。,"1月10日,9月8日",アオイ科。熱帯原産。花の中から黄色い雄しべが突き出しているのが特徴的です。熱帯植物ですが、比較的寒さにも強く育てやすい植物です。,https://upload.wikimedia.org/wikipedia/commons/7/75/Abutilon_megapotamicum_3.jpg
アベリア,"強運,謙虚,謙譲",19世紀に中国を訪れたイギリスの植物学者、クラーク・エーベルの名前にちなんで名付けられました。,春から秋の終わりまで、長期間にわたって次々と新しい花を咲かせ続ける驚異的な生命力から「強運」。花自体は小さく白く、控えめに甘い香りを漂わせる姿から「謙虚」という意味も持っています。,"7月7日,9月18日,11月25日",スイカズラ科。中国原産。排気ガスに強いため、道路脇の植え込みによく使われます。花が散った後も、ガクがプロペラのような形で残るのが可愛らしい特徴です。,https://upload.wikimedia.org/wikipedia/commons/2/23/Abelia_x_grandiflora_02.jpg
アマチャ（甘茶）,"祝杯,至福のとき,もてなし",葉を乾燥させて煎じると砂糖のような強い甘みが出ることから「甘茶」。見た目はガクアジサイによく似ています。,4月8日の花祭り（お釈迦様の誕生日）に、甘茶を仏像にかけて祝う習慣があることから、神聖な喜びの「祝杯」。また、訪問客をもてなす特別なお茶として振る舞われた歴史から「もてなし」とも言われます。,"4月5日,8月23日",アジサイ科。日本原産。甘み成分は天然甘味料として利用されています。実は若い木の葉には甘みがなく、成長してから初めて甘くなるという不思議な性質があります。,https://upload.wikimedia.org/wikipedia/commons/e/eb/Hydrangea_macrophylla_var._thunbergii.jpg
アマリリス,"誇り,おしゃべり,輝くばかりの美しさ,内気",ギリシャ神話に登場する、羊飼いの少年に恋をした美しい少女「アマリリス」の名前に由来しています。,片思いを叶えるために神のお告げに従い、自らを矢で傷つけて血を流した少女アマリリスの、激しくも純粋な恋心から「内気」「誇り」。花が横一列に並んで咲く様子が、おしゃべりに興じているように見えることから「おしゃべり」とも。,"1月26日,2月24日,5月28日,7月16日",ヒガンバナ科。南米原産。太い茎の先に大きな花を咲かせるインパクトのある球根植物です。赤や白、ピンクなど、園芸品種が非常に豊富です。,https://upload.wikimedia.org/wikipedia/commons/2/22/Amaryllis_hippeastrum.jpg
アメリカンブルー,"あふれる思い,清潔,清涼感,ふたりの絆",1980年代にアメリカから日本へ輸入された際、その美しい青色にちなんで名付けられた通称です。本名は「エボルブルス」。,真夏の炎天下でも、鮮やかな青い小花が次々と咲き続け、株全体を覆い尽くす様子が、溢れ出る感情に見えることから「あふれる思い」。その涼しげなブルーが、暑い季節に爽やかな風を運んでくれるようです。,"6月25日,7月6日,10月14日",ヒルガオ科。南北アメリカ原産。地面を這うように横に広がる性質があり、夏の花壇を青いカーペットのように彩るグランドカバーとして愛されています。,https://upload.wikimedia.org/wikipedia/commons/f/ff/Evolvulus_pilosus_bgiu.jpg
アヤメ（文目）,"よい便り,朗報,優雅な心,神秘的な人",花びらの根元に網目（文目）模様があることから「アヤメ」と呼ばれます。剣のような葉が並ぶ様子からという説もあります。,虹の女神イリスが神々の伝令役であったことから「よい便り」。雨上がりの水辺でしっとりと咲く紫色の姿が、日本的な情緒とどこかミステリアスな雰囲気を漂わせることから「神秘的な人」とされました。,"5月5日,5月10日,6月6日",アヤメ科。日本や北東アジア原産。乾燥した土地を好みます。「いずれアヤメかカキツバタ」と言われるほど、カキツバタやハナショウブと見分けるのが難しい花です。,https://upload.wikimedia.org/wikipedia/commons/b/b3/Iris_sanguinea_2.jpg
アラマンダ,"恋に落ちる前,隠された美,楽しい追憶",18世紀のオランダの植物学者フレデリック・アラマンにちなんで名付けられました。和名は「有明葛（アリアケカズラ）」です。,南国の強い日差しの中で、鮮やかな黄色の花を次々と咲かせる眩しい姿が、見る人を虜にすることから「恋に落ちる前」。夜明け（有明）の月のように美しいことから和名がつきました。,"8月10日,10月20日",キョウチクトウ科。南米原産。沖縄などの暖かい地域ではよく見かけるつる植物です。寒さには弱いため、冬越しには暖かい場所が必要です。,https://upload.wikimedia.org/wikipedia/commons/5/5f/Allamanda_cathartica_2.jpg
アイリス（イリス）,"よい便り,希望,信じる心,私は燃えている",ギリシャ神話の虹の女神「イリス」に由来します。英語読みならアイリス、ラテン語読みならイリスです。,ゼウスの求愛から逃れるために、女神ヘラに頼んで虹に変えてもらった侍女イリスの伝説から。彼女が空と地を結ぶ虹の架け橋となり、神々の言葉を伝える役割を担ったことから「よい便り」という花言葉が生まれました。,"3月18日,4月17日,5月10日",アヤメ科。地中海沿岸原産。伝説において、イリスが「どこか遠くへ行きたい」と願ったことから、現状からの脱出や旅立ちを象徴する花でもあります。,https://upload.wikimedia.org/wikipedia/commons/a/a6/Iris_germanica_purple.jpg
アイビー（ヘデラ）,"永遠の愛,友情,不滅,結婚,誠実",ギリシャ語で「しがみつく」や「座る」を意味する言葉が語源です。和名は「木蔦（キヅタ）」と呼ばれます。,一年中緑の葉を茂らせ、壁や木にしっかりと根を張って離れない強い性質から、変わることのない絆を象徴して「永遠の愛」「結婚」。古代ギリシャでは、悪酔いを防ぐお守りとしても知られていました。,"1月21日,12月3日,12月20日",ウコギ科。ヨーロッパ原産。観葉植物として非常にポピュラーです。日陰でも枯れず、どんな環境でもたくましく育つ丈夫な植物です。,https://upload.wikimedia.org/wikipedia/commons/4/44/Hedera_helix_leafs.jpg
アリッサム,"優美,美しさに優る価値,飛躍,仲直り",ギリシャ語で「狂気がない」という意味。昔は狂犬病の治療に使われると信じられていたため、「狂気を消し去るもの」という意味があります。,春になると小さな花がカーペットのように広がり、甘い香りで満たされる様子から「優美」。その香りの良さが、見た目の可愛らしさ以上に価値があるとして「美しさに優る価値」と称えられました。,"1月12日,3月23日,9月24日",アブラナ科。地中海沿岸原産。和名は「庭薺（ニワナズナ）」。本来は白い花ですが、ピンクや紫の園芸品種もあり、春の花壇を優しく彩ります。,https://upload.wikimedia.org/wikipedia/commons/c/c9/Lobularia_maritima_J2.jpg
アリウム,"深い悲しみ,正しい主張,無限の悲しみ",ラテン語で「ニンニク」を意味します。植物全体からネギやニンニクのような独特の匂いがすることに由来しています。,紫色の小さな花が球状に集まって咲く姿が、悲しみに暮れて立ち尽くす人や、溢れ出る涙を連想させることから「深い悲しみ」。一方で、茎が曲がらずに空へ真っ直ぐ伸びる凛とした姿から「正しい主張」という強い意志も表します。,"5月16日,7月23日",ヒガンバナ科。北半球原産。巨大なねぎぼうずのような「ギガンチウム」が有名です。見た目はユニークで可愛いですが、香りはネギそのものです。,https://upload.wikimedia.org/wikipedia/commons/e/ed/Allium_giganteum_bang.jpg
アルストロメリア,"未来への憧れ,持続,エキゾチック,小悪魔的な思い",南米で種を採集した植物学者リンネが、親友であるスウェーデンの男爵アルストレーマーの名前にちなんで名付けました。,切り花にしても花持ちが非常に良く、長く美しさを楽しめることから、持続的な幸せや希望を表す「未来への憧れ」。花びらの内側にある鮮やかな斑点模様が、異国の雰囲気を漂わせるため「エキゾチック」とされました。,"2月18日,3月13日,4月18日",アルストロメリア科。南米原産。別名「百合水仙」。その華やかさと人を惹きつける魅力から「小悪魔」という花言葉も持っています。,https://upload.wikimedia.org/wikipedia/commons/d/d7/Alstroemeria_aurantiaca_2.jpg
アルメリア,"同情,思いやり,共感",ケルト語で「海の近く」を意味する言葉が由来です。その名の通り、原産地のヨーロッパでは海岸の岩場や砂地に自生しています。,細い茎の先に、小さなピンク色の花が身を寄せ合うように丸く咲く姿が、厳しい自然環境の中でお互いを励まし、慰め合っているように見えることから「同情」「思いやり」とされました。,"2月29日,3月2日,3月30日",イソマツ科。北半球の広い範囲に分布。和名は「浜簪（ハマカンザシ）」。花の形が女性の髪飾りの簪（かんざし）に似ていることから名付けられました。,https://upload.wikimedia.org/wikipedia/commons/a/a0/Armeria_maritima_Singel_02.jpg
アロエ,"苦痛,万能,健康,悲嘆",アラビア語で「苦い」を意味する「alloeh」が語源です。葉の中にあるゼリー状の汁が、非常に苦いことに由来します。,葉の縁に鋭いトゲがあり触ると痛いことや、汁の強烈な苦さから「苦痛」「悲嘆」。しかし、古くから「医者いらず」と言われるほど薬効が高く、火傷や切り傷の治療薬として人々の生活を助けてきたことから「万能」「健康」という感謝の意味も持ちます。,"9月11日,11月22日",ススキノキ科。アフリカ原産。絶世の美女クレオパトラも、アロエの樹液を美容液として愛用していたという伝説があります。日本には鎌倉時代には既に伝わっていました。,https://upload.wikimedia.org/wikipedia/commons/8/87/Aloe_arborescens_flower.jpg
アングレカム,"祈り,いつまでもあなたと一緒",マレー語で「着生する」を意味する言葉がラテン語化したものです。樹木や岩肌に根を張って育つランの一種であるためです。,夜になると星のような形の白い花から甘い香りが漂い、その姿が夜空に向かって静かに祈りを捧げているように見えることから「祈り」。進化論のダーウィンが、この花の蜜を吸える特別な蛾がいるはずだと予測し、後に実在が証明されたことでも知られます。,"11月22日,12月14日",ラン科。アフリカ、マダガスカル原産。「ベツレヘムの星」とも呼ばれ、クリスマスの時期に咲く星形の花として神聖視されています。,https://upload.wikimedia.org/wikipedia/commons/9/91/Angraecum_sesquipedale_Orchi_003.jpg
アンジェリカ,"インスピレーション,和気あいあい",ラテン語の「angelus（天使）」に由来します。中世ヨーロッパで疫病が大流行した際、夢に現れた天使がこの草の薬効を教えてくれたという伝説があります。,天使が人々を救うために地上にもたらした聖なる植物という伝説から、天からのひらめきを意味する「インスピレーション」。また、小さな花が傘のように集まって咲く姿が、人々が楽しく集まっている様子を連想させ「和気あいあい」とされました。,"6月13日,9月9日",セリ科。北半球の寒冷地原産。和名は「西洋当帰（セイヨウトウキ）」。フキに似た茎を砂糖漬けにした「アンゼリカ」は、ケーキや焼き菓子の飾りとして親しまれています。,https://upload.wikimedia.org/wikipedia/commons/1/1a/Angelica_archangelica_flower.jpg
